dataset,instancia,n,M,archivo
densidad-alta-optimalidad,BT-O-DA-0,0,0,instancias/densidad-alta-optimalidad/BT-O-DA-0.txt
densidad-alta-optimalidad,BT-O-DA-1,1,7,instancias/densidad-alta-optimalidad/BT-O-DA-1.txt
densidad-alta-optimalidad,BT-O-DA-2,2,15,instancias/densidad-alta-optimalidad/BT-O-DA-2.txt
densidad-alta-optimalidad,BT-O-DA-3,3,22,instancias/densidad-alta-optimalidad/BT-O-DA-3.txt
densidad-alta-optimalidad,BT-O-DA-4,4,30,instancias/densidad-alta-optimalidad/BT-O-DA-4.txt
densidad-alta-optimalidad,BT-O-DA-5,5,37,instancias/densidad-alta-optimalidad/BT-O-DA-5.txt
densidad-alta-optimalidad,BT-O-DA-6,6,45,instancias/densidad-alta-optimalidad/BT-O-DA-6.txt
densidad-alta-optimalidad,BT-O-DA-7,7,52,instancias/densidad-alta-optimalidad/BT-O-DA-7.txt
densidad-alta-optimalidad,BT-O-DA-8,8,60,instancias/densidad-alta-optimalidad/BT-O-DA-8.txt
densidad-alta-optimalidad,BT-O-DA-9,9,67,instancias/densidad-alta-optimalidad/BT-O-DA-9.txt
densidad-alta-optimalidad,BT-O-DA-10,10,75,instancias/densidad-alta-optimalidad/BT-O-DA-10.txt
densidad-alta-optimalidad,BT-O-DA-11,11,82,instancias/densidad-alta-optimalidad/BT-O-DA-11.txt
densidad-alta-optimalidad,BT-O-DA-12,12,90,instancias/densidad-alta-optimalidad/BT-O-DA-12.txt
densidad-alta-optimalidad,BT-O-DA-13,13,97,instancias/densidad-alta-optimalidad/BT-O-DA-13.txt
densidad-alta-optimalidad,BT-O-DA-14,14,105,instancias/densidad-alta-optimalidad/BT-O-DA-14.txt
densidad-alta-optimalidad,BT-O-DA-15,15,112,instancias/densidad-alta-optimalidad/BT-O-DA-15.txt
densidad-alta-optimalidad,BT-O-DA-16,16,120,instancias/densidad-alta-optimalidad/BT-O-DA-16.txt
densidad-alta-optimalidad,BT-O-DA-17,17,127,instancias/densidad-alta-optimalidad/BT-O-DA-17.txt
densidad-alta-optimalidad,BT-O-DA-18,18,135,instancias/densidad-alta-optimalidad/BT-O-DA-18.txt
densidad-alta-optimalidad,BT-O-DA-19,19,142,instancias/densidad-alta-optimalidad/BT-O-DA-19.txt
densidad-alta-optimalidad,BT-O-DA-20,20,150,instancias/densidad-alta-optimalidad/BT-O-DA-20.txt
densidad-alta-optimalidad,BT-O-DA-21,21,157,instancias/densidad-alta-optimalidad/BT-O-DA-21.txt
densidad-alta-optimalidad,BT-O-DA-22,22,165,instancias/densidad-alta-optimalidad/BT-O-DA-22.txt
densidad-alta-optimalidad,BT-O-DA-23,23,172,instancias/densidad-alta-optimalidad/BT-O-DA-23.txt
densidad-alta-optimalidad,BT-O-DA-24,24,180,instancias/densidad-alta-optimalidad/BT-O-DA-24.txt
densidad-alta-optimalidad,BT-O-DA-25,25,187,instancias/densidad-alta-optimalidad/BT-O-DA-25.txt
densidad-alta-optimalidad,BT-O-DA-26,26,195,instancias/densidad-alta-optimalidad/BT-O-DA-26.txt
densidad-alta-optimalidad,BT-O-DA-27,27,202,instancias/densidad-alta-optimalidad/BT-O-DA-27.txt
densidad-alta-optimalidad,BT-O-DA-28,28,210,instancias/densidad-alta-optimalidad/BT-O-DA-28.txt
densidad-alta-optimalidad,BT-O-DA-29,29,217,instancias/densidad-alta-optimalidad/BT-O-DA-29.txt
densidad-alta-optimalidad,BT-O-DA-30,30,225,instancias/densidad-alta-optimalidad/BT-O-DA-30.txt
densidad-alta-optimalidad,BT-O-DA-31,31,232,instancias/densidad-alta-optimalidad/BT-O-DA-31.txt
densidad-alta-optimalidad,BT-O-DA-32,32,240,instancias/densidad-alta-optimalidad/BT-O-DA-32.txt
densidad-alta-optimalidad,BT-O-DA-33,33,247,instancias/densidad-alta-optimalidad/BT-O-DA-33.txt
densidad-alta-optimalidad,BT-O-DA-34,34,255,instancias/densidad-alta-optimalidad/BT-O-DA-34.txt
densidad-alta-optimalidad,BT-O-DA-35,35,262,instancias/densidad-alta-optimalidad/BT-O-DA-35.txt
densidad-alta-optimalidad,BT-O-DA-36,36,270,instancias/densidad-alta-optimalidad/BT-O-DA-36.txt
densidad-alta-optimalidad,BT-O-DA-37,37,277,instancias/densidad-alta-optimalidad/BT-O-DA-37.txt
densidad-alta-optimalidad,BT-O-DA-38,38,285,instancias/densidad-alta-optimalidad/BT-O-DA-38.txt
densidad-alta-optimalidad,BT-O-DA-39,39,292,instancias/densidad-alta-optimalidad/BT-O-DA-39.txt
densidad-alta-optimalidad,BT-O-DA-40,40,300,instancias/densidad-alta-optimalidad/BT-O-DA-40.txt
densidad-alta-optimalidad,BT-O-DA-41,41,307,instancias/densidad-alta-optimalidad/BT-O-DA-41.txt
densidad-alta-optimalidad,BT-O-DA-42,42,315,instancias/densidad-alta-optimalidad/BT-O-DA-42.txt
densidad-alta-optimalidad,BT-O-DA-43,43,322,instancias/densidad-alta-optimalidad/BT-O-DA-43.txt
densidad-alta-optimalidad,BT-O-DA-44,44,330,instancias/densidad-alta-optimalidad/BT-O-DA-44.txt
