dataset,instancia,n,M,archivo
densidad-baja-factibilidad,BT-F-DB-0,0,0,instancias/densidad-baja-factibilidad/BT-F-DA-0.txt
densidad-baja-factibilidad,BT-F-DB-1,1,2,instancias/densidad-baja-factibilidad/BT-F-DA-1.txt
densidad-baja-factibilidad,BT-F-DB-2,2,5,instancias/densidad-baja-factibilidad/BT-F-DA-2.txt
densidad-baja-factibilidad,BT-F-DB-3,3,7,instancias/densidad-baja-factibilidad/BT-F-DA-3.txt
densidad-baja-factibilidad,BT-F-DB-4,4,10,instancias/densidad-baja-factibilidad/BT-F-DA-4.txt
densidad-baja-factibilidad,BT-F-DB-5,5,12,instancias/densidad-baja-factibilidad/BT-F-DA-5.txt
densidad-baja-factibilidad,BT-F-DB-6,6,15,instancias/densidad-baja-factibilidad/BT-F-DA-6.txt
densidad-baja-factibilidad,BT-F-DB-7,7,17,instancias/densidad-baja-factibilidad/BT-F-DA-7.txt
densidad-baja-factibilidad,BT-F-DB-8,8,20,instancias/densidad-baja-factibilidad/BT-F-DA-8.txt
densidad-baja-factibilidad,BT-F-DB-9,9,22,instancias/densidad-baja-factibilidad/BT-F-DA-9.txt
densidad-baja-factibilidad,BT-F-DB-10,10,25,instancias/densidad-baja-factibilidad/BT-F-DA-10.txt
densidad-baja-factibilidad,BT-F-DB-11,11,27,instancias/densidad-baja-factibilidad/BT-F-DA-11.txt
densidad-baja-factibilidad,BT-F-DB-12,12,30,instancias/densidad-baja-factibilidad/BT-F-DA-12.txt
densidad-baja-factibilidad,BT-F-DB-13,13,32,instancias/densidad-baja-factibilidad/BT-F-DA-13.txt
densidad-baja-factibilidad,BT-F-DB-14,14,35,instancias/densidad-baja-factibilidad/BT-F-DA-14.txt
densidad-baja-factibilidad,BT-F-DB-15,15,37,instancias/densidad-baja-factibilidad/BT-F-DA-15.txt
densidad-baja-factibilidad,BT-F-DB-16,16,40,instancias/densidad-baja-factibilidad/BT-F-DA-16.txt
densidad-baja-factibilidad,BT-F-DB-17,17,42,instancias/densidad-baja-factibilidad/BT-F-DA-17.txt
densidad-baja-factibilidad,BT-F-DB-18,18,45,instancias/densidad-baja-factibilidad/BT-F-DA-18.txt
densidad-baja-factibilidad,BT-F-DB-19,19,47,instancias/densidad-baja-factibilidad/BT-F-DA-19.txt
densidad-baja-factibilidad,BT-F-DB-20,20,50,instancias/densidad-baja-factibilidad/BT-F-DA-20.txt
densidad-baja-factibilidad,BT-F-DB-21,21,52,instancias/densidad-baja-factibilidad/BT-F-DA-21.txt
densidad-baja-factibilidad,BT-F-DB-22,22,55,instancias/densidad-baja-factibilidad/BT-F-DA-22.txt
densidad-baja-factibilidad,BT-F-DB-23,23,57,instancias/densidad-baja-factibilidad/BT-F-DA-23.txt
densidad-baja-factibilidad,BT-F-DB-24,24,60,instancias/densidad-baja-factibilidad/BT-F-DA-24.txt
densidad-baja-factibilidad,BT-F-DB-25,25,62,instancias/densidad-baja-factibilidad/BT-F-DA-25.txt
densidad-baja-factibilidad,BT-F-DB-26,26,65,instancias/densidad-baja-factibilidad/BT-F-DA-26.txt
densidad-baja-factibilidad,BT-F-DB-27,27,67,instancias/densidad-baja-factibilidad/BT-F-DA-27.txt
densidad-baja-factibilidad,BT-F-DB-28,28,70,instancias/densidad-baja-factibilidad/BT-F-DA-28.txt
densidad-baja-factibilidad,BT-F-DB-29,29,72,instancias/densidad-baja-factibilidad/BT-F-DA-29.txt
densidad-baja-factibilidad,BT-F-DB-30,30,75,instancias/densidad-baja-factibilidad/BT-F-DA-30.txt
densidad-baja-factibilidad,BT-F-DB-31,31,77,instancias/densidad-baja-factibilidad/BT-F-DA-31.txt
densidad-baja-factibilidad,BT-F-DB-32,32,80,instancias/densidad-baja-factibilidad/BT-F-DA-32.txt
densidad-baja-factibilidad,BT-F-DB-33,33,82,instancias/densidad-baja-factibilidad/BT-F-DA-33.txt
densidad-baja-factibilidad,BT-F-DB-34,34,85,instancias/densidad-baja-factibilidad/BT-F-DA-34.txt
densidad-baja-factibilidad,BT-F-DB-35,35,87,instancias/densidad-baja-factibilidad/BT-F-DA-35.txt
densidad-baja-factibilidad,BT-F-DB-36,36,90,instancias/densidad-baja-factibilidad/BT-F-DA-36.txt
densidad-baja-factibilidad,BT-F-DB-37,37,92,instancias/densidad-baja-factibilidad/BT-F-DA-37.txt
densidad-baja-factibilidad,BT-F-DB-38,38,95,instancias/densidad-baja-factibilidad/BT-F-DA-38.txt
densidad-baja-factibilidad,BT-F-DB-39,39,97,instancias/densidad-baja-factibilidad/BT-F-DA-39.txt
densidad-baja-factibilidad,BT-F-DB-40,40,100,instancias/densidad-baja-factibilidad/BT-F-DA-40.txt
densidad-baja-factibilidad,BT-F-DB-41,41,102,instancias/densidad-baja-factibilidad/BT-F-DA-41.txt
densidad-baja-factibilidad,BT-F-DB-42,42,105,instancias/densidad-baja-factibilidad/BT-F-DA-42.txt
densidad-baja-factibilidad,BT-F-DB-43,43,107,instancias/densidad-baja-factibilidad/BT-F-DA-43.txt
densidad-baja-factibilidad,BT-F-DB-44,44,110,instancias/densidad-baja-factibilidad/BT-F-DA-44.txt
