dataset,instancia,n,M,archivo
densidad-baja-optimalidad,BT-O-DB-0,0,0,instancias/densidad-baja-optimalidad/BT-O-DB-0.txt
densidad-baja-optimalidad,BT-O-DB-1,1,5,instancias/densidad-baja-optimalidad/BT-O-DB-1.txt
densidad-baja-optimalidad,BT-O-DB-2,2,10,instancias/densidad-baja-optimalidad/BT-O-DB-2.txt
densidad-baja-optimalidad,BT-O-DB-3,3,15,instancias/densidad-baja-optimalidad/BT-O-DB-3.txt
densidad-baja-optimalidad,BT-O-DB-4,4,20,instancias/densidad-baja-optimalidad/BT-O-DB-4.txt
densidad-baja-optimalidad,BT-O-DB-5,5,25,instancias/densidad-baja-optimalidad/BT-O-DB-5.txt
densidad-baja-optimalidad,BT-O-DB-6,6,30,instancias/densidad-baja-optimalidad/BT-O-DB-6.txt
densidad-baja-optimalidad,BT-O-DB-7,7,35,instancias/densidad-baja-optimalidad/BT-O-DB-7.txt
densidad-baja-optimalidad,BT-O-DB-8,8,40,instancias/densidad-baja-optimalidad/BT-O-DB-8.txt
densidad-baja-optimalidad,BT-O-DB-9,9,45,instancias/densidad-baja-optimalidad/BT-O-DB-9.txt
densidad-baja-optimalidad,BT-O-DB-10,10,50,instancias/densidad-baja-optimalidad/BT-O-DB-10.txt
densidad-baja-optimalidad,BT-O-DB-11,11,55,instancias/densidad-baja-optimalidad/BT-O-DB-11.txt
densidad-baja-optimalidad,BT-O-DB-12,12,60,instancias/densidad-baja-optimalidad/BT-O-DB-12.txt
densidad-baja-optimalidad,BT-O-DB-13,13,65,instancias/densidad-baja-optimalidad/BT-O-DB-13.txt
densidad-baja-optimalidad,BT-O-DB-14,14,70,instancias/densidad-baja-optimalidad/BT-O-DB-14.txt
densidad-baja-optimalidad,BT-O-DB-15,15,75,instancias/densidad-baja-optimalidad/BT-O-DB-15.txt
densidad-baja-optimalidad,BT-O-DB-16,16,80,instancias/densidad-baja-optimalidad/BT-O-DB-16.txt
densidad-baja-optimalidad,BT-O-DB-17,17,85,instancias/densidad-baja-optimalidad/BT-O-DB-17.txt
densidad-baja-optimalidad,BT-O-DB-18,18,90,instancias/densidad-baja-optimalidad/BT-O-DB-18.txt
densidad-baja-optimalidad,BT-O-DB-19,19,95,instancias/densidad-baja-optimalidad/BT-O-DB-19.txt
densidad-baja-optimalidad,BT-O-DB-20,20,100,instancias/densidad-baja-optimalidad/BT-O-DB-20.txt
densidad-baja-optimalidad,BT-O-DB-21,21,105,instancias/densidad-baja-optimalidad/BT-O-DB-21.txt
densidad-baja-optimalidad,BT-O-DB-22,22,110,instancias/densidad-baja-optimalidad/BT-O-DB-22.txt
densidad-baja-optimalidad,BT-O-DB-23,23,115,instancias/densidad-baja-optimalidad/BT-O-DB-23.txt
densidad-baja-optimalidad,BT-O-DB-24,24,120,instancias/densidad-baja-optimalidad/BT-O-DB-24.txt
densidad-baja-optimalidad,BT-O-DB-25,25,125,instancias/densidad-baja-optimalidad/BT-O-DB-25.txt
densidad-baja-optimalidad,BT-O-DB-26,26,130,instancias/densidad-baja-optimalidad/BT-O-DB-26.txt
densidad-baja-optimalidad,BT-O-DB-27,27,135,instancias/densidad-baja-optimalidad/BT-O-DB-27.txt
densidad-baja-optimalidad,BT-O-DB-28,28,140,instancias/densidad-baja-optimalidad/BT-O-DB-28.txt
densidad-baja-optimalidad,BT-O-DB-29,29,145,instancias/densidad-baja-optimalidad/BT-O-DB-29.txt
densidad-baja-optimalidad,BT-O-DB-30,30,150,instancias/densidad-baja-optimalidad/BT-O-DB-30.txt
densidad-baja-optimalidad,BT-O-DB-31,31,155,instancias/densidad-baja-optimalidad/BT-O-DB-31.txt
densidad-baja-optimalidad,BT-O-DB-32,32,160,instancias/densidad-baja-optimalidad/BT-O-DB-32.txt
densidad-baja-optimalidad,BT-O-DB-33,33,165,instancias/densidad-baja-optimalidad/BT-O-DB-33.txt
densidad-baja-optimalidad,BT-O-DB-34,34,170,instancias/densidad-baja-optimalidad/BT-O-DB-34.txt
densidad-baja-optimalidad,BT-O-DB-35,35,175,instancias/densidad-baja-optimalidad/BT-O-DB-35.txt
densidad-baja-optimalidad,BT-O-DB-36,36,180,instancias/densidad-baja-optimalidad/BT-O-DB-36.txt
densidad-baja-optimalidad,BT-O-DB-37,37,185,instancias/densidad-baja-optimalidad/BT-O-DB-37.txt
densidad-baja-optimalidad,BT-O-DB-38,38,190,instancias/densidad-baja-optimalidad/BT-O-DB-38.txt
densidad-baja-optimalidad,BT-O-DB-39,39,195,instancias/densidad-baja-optimalidad/BT-O-DB-39.txt
densidad-baja-optimalidad,BT-O-DB-40,40,200,instancias/densidad-baja-optimalidad/BT-O-DB-40.txt
densidad-baja-optimalidad,BT-O-DB-41,41,205,instancias/densidad-baja-optimalidad/BT-O-DB-41.txt
densidad-baja-optimalidad,BT-O-DB-42,42,210,instancias/densidad-baja-optimalidad/BT-O-DB-42.txt
densidad-baja-optimalidad,BT-O-DB-43,43,215,instancias/densidad-baja-optimalidad/BT-O-DB-43.txt
densidad-baja-optimalidad,BT-O-DB-44,44,220,instancias/densidad-baja-optimalidad/BT-O-DB-44.txt
