dataset,instancia,n,M,archivo
densidad-media-factibilidad,BT-F-DM-0,0,0,instancias/densidad-media-factibilidad/BT-F-DA-0.txt
densidad-media-factibilidad,BT-F-DM-1,1,5,instancias/densidad-media-factibilidad/BT-F-DA-1.txt
densidad-media-factibilidad,BT-F-DM-2,2,10,instancias/densidad-media-factibilidad/BT-F-DA-2.txt
densidad-media-factibilidad,BT-F-DM-3,3,15,instancias/densidad-media-factibilidad/BT-F-DA-3.txt
densidad-media-factibilidad,BT-F-DM-4,4,20,instancias/densidad-media-factibilidad/BT-F-DA-4.txt
densidad-media-factibilidad,BT-F-DM-5,5,25,instancias/densidad-media-factibilidad/BT-F-DA-5.txt
densidad-media-factibilidad,BT-F-DM-6,6,30,instancias/densidad-media-factibilidad/BT-F-DA-6.txt
densidad-media-factibilidad,BT-F-DM-7,7,35,instancias/densidad-media-factibilidad/BT-F-DA-7.txt
densidad-media-factibilidad,BT-F-DM-8,8,40,instancias/densidad-media-factibilidad/BT-F-DA-8.txt
densidad-media-factibilidad,BT-F-DM-9,9,45,instancias/densidad-media-factibilidad/BT-F-DA-9.txt
densidad-media-factibilidad,BT-F-DM-10,10,50,instancias/densidad-media-factibilidad/BT-F-DA-10.txt
densidad-media-factibilidad,BT-F-DM-11,11,55,instancias/densidad-media-factibilidad/BT-F-DA-11.txt
densidad-media-factibilidad,BT-F-DM-12,12,60,instancias/densidad-media-factibilidad/BT-F-DA-12.txt
densidad-media-factibilidad,BT-F-DM-13,13,65,instancias/densidad-media-factibilidad/BT-F-DA-13.txt
densidad-media-factibilidad,BT-F-DM-14,14,70,instancias/densidad-media-factibilidad/BT-F-DA-14.txt
densidad-media-factibilidad,BT-F-DM-15,15,75,instancias/densidad-media-factibilidad/BT-F-DA-15.txt
densidad-media-factibilidad,BT-F-DM-16,16,80,instancias/densidad-media-factibilidad/BT-F-DA-16.txt
densidad-media-factibilidad,BT-F-DM-17,17,85,instancias/densidad-media-factibilidad/BT-F-DA-17.txt
densidad-media-factibilidad,BT-F-DM-18,18,90,instancias/densidad-media-factibilidad/BT-F-DA-18.txt
densidad-media-factibilidad,BT-F-DM-19,19,95,instancias/densidad-media-factibilidad/BT-F-DA-19.txt
densidad-media-factibilidad,BT-F-DM-20,20,100,instancias/densidad-media-factibilidad/BT-F-DA-20.txt
densidad-media-factibilidad,BT-F-DM-21,21,105,instancias/densidad-media-factibilidad/BT-F-DA-21.txt
densidad-media-factibilidad,BT-F-DM-22,22,110,instancias/densidad-media-factibilidad/BT-F-DA-22.txt
densidad-media-factibilidad,BT-F-DM-23,23,115,instancias/densidad-media-factibilidad/BT-F-DA-23.txt
densidad-media-factibilidad,BT-F-DM-24,24,120,instancias/densidad-media-factibilidad/BT-F-DA-24.txt
densidad-media-factibilidad,BT-F-DM-25,25,125,instancias/densidad-media-factibilidad/BT-F-DA-25.txt
densidad-media-factibilidad,BT-F-DM-26,26,130,instancias/densidad-media-factibilidad/BT-F-DA-26.txt
densidad-media-factibilidad,BT-F-DM-27,27,135,instancias/densidad-media-factibilidad/BT-F-DA-27.txt
densidad-media-factibilidad,BT-F-DM-28,28,140,instancias/densidad-media-factibilidad/BT-F-DA-28.txt
densidad-media-factibilidad,BT-F-DM-29,29,145,instancias/densidad-media-factibilidad/BT-F-DA-29.txt
densidad-media-factibilidad,BT-F-DM-30,30,150,instancias/densidad-media-factibilidad/BT-F-DA-30.txt
densidad-media-factibilidad,BT-F-DM-31,31,155,instancias/densidad-media-factibilidad/BT-F-DA-31.txt
densidad-media-factibilidad,BT-F-DM-32,32,160,instancias/densidad-media-factibilidad/BT-F-DA-32.txt
densidad-media-factibilidad,BT-F-DM-33,33,165,instancias/densidad-media-factibilidad/BT-F-DA-33.txt
densidad-media-factibilidad,BT-F-DM-34,34,170,instancias/densidad-media-factibilidad/BT-F-DA-34.txt
densidad-media-factibilidad,BT-F-DM-35,35,175,instancias/densidad-media-factibilidad/BT-F-DA-35.txt
densidad-media-factibilidad,BT-F-DM-36,36,180,instancias/densidad-media-factibilidad/BT-F-DA-36.txt
densidad-media-factibilidad,BT-F-DM-37,37,185,instancias/densidad-media-factibilidad/BT-F-DA-37.txt
densidad-media-factibilidad,BT-F-DM-38,38,190,instancias/densidad-media-factibilidad/BT-F-DA-38.txt
densidad-media-factibilidad,BT-F-DM-39,39,195,instancias/densidad-media-factibilidad/BT-F-DA-39.txt
densidad-media-factibilidad,BT-F-DM-40,40,200,instancias/densidad-media-factibilidad/BT-F-DA-40.txt
densidad-media-factibilidad,BT-F-DM-41,41,205,instancias/densidad-media-factibilidad/BT-F-DA-41.txt
densidad-media-factibilidad,BT-F-DM-42,42,210,instancias/densidad-media-factibilidad/BT-F-DA-42.txt
densidad-media-factibilidad,BT-F-DM-43,43,215,instancias/densidad-media-factibilidad/BT-F-DA-43.txt
densidad-media-factibilidad,BT-F-DM-44,44,220,instancias/densidad-media-factibilidad/BT-F-DA-44.txt
