dataset,instancia,n,M,archivo
mejor-caso-bt-f,BT-F-MC-0,0,1,instancias/mejor-caso-bt-f/BT-F-MC-0.txt
mejor-caso-bt-f,BT-F-MC-1,1,2,instancias/mejor-caso-bt-f/BT-F-MC-1.txt
mejor-caso-bt-f,BT-F-MC-2,2,3,instancias/mejor-caso-bt-f/BT-F-MC-2.txt
mejor-caso-bt-f,BT-F-MC-3,3,4,instancias/mejor-caso-bt-f/BT-F-MC-3.txt
mejor-caso-bt-f,BT-F-MC-4,4,5,instancias/mejor-caso-bt-f/BT-F-MC-4.txt
mejor-caso-bt-f,BT-F-MC-5,5,6,instancias/mejor-caso-bt-f/BT-F-MC-5.txt
mejor-caso-bt-f,BT-F-MC-6,6,7,instancias/mejor-caso-bt-f/BT-F-MC-6.txt
mejor-caso-bt-f,BT-F-MC-7,7,8,instancias/mejor-caso-bt-f/BT-F-MC-7.txt
mejor-caso-bt-f,BT-F-MC-8,8,9,instancias/mejor-caso-bt-f/BT-F-MC-8.txt
mejor-caso-bt-f,BT-F-MC-9,9,10,instancias/mejor-caso-bt-f/BT-F-MC-9.txt
mejor-caso-bt-f,BT-F-MC-10,10,11,instancias/mejor-caso-bt-f/BT-F-MC-10.txt
mejor-caso-bt-f,BT-F-MC-11,11,12,instancias/mejor-caso-bt-f/BT-F-MC-11.txt
mejor-caso-bt-f,BT-F-MC-12,12,13,instancias/mejor-caso-bt-f/BT-F-MC-12.txt
mejor-caso-bt-f,BT-F-MC-13,13,14,instancias/mejor-caso-bt-f/BT-F-MC-13.txt
mejor-caso-bt-f,BT-F-MC-14,14,15,instancias/mejor-caso-bt-f/BT-F-MC-14.txt
mejor-caso-bt-f,BT-F-MC-15,15,16,instancias/mejor-caso-bt-f/BT-F-MC-15.txt
mejor-caso-bt-f,BT-F-MC-16,16,17,instancias/mejor-caso-bt-f/BT-F-MC-16.txt
mejor-caso-bt-f,BT-F-MC-17,17,18,instancias/mejor-caso-bt-f/BT-F-MC-17.txt
mejor-caso-bt-f,BT-F-MC-18,18,19,instancias/mejor-caso-bt-f/BT-F-MC-18.txt
mejor-caso-bt-f,BT-F-MC-19,19,20,instancias/mejor-caso-bt-f/BT-F-MC-19.txt
mejor-caso-bt-f,BT-F-MC-20,20,21,instancias/mejor-caso-bt-f/BT-F-MC-20.txt
mejor-caso-bt-f,BT-F-MC-21,21,22,instancias/mejor-caso-bt-f/BT-F-MC-21.txt
mejor-caso-bt-f,BT-F-MC-22,22,23,instancias/mejor-caso-bt-f/BT-F-MC-22.txt
mejor-caso-bt-f,BT-F-MC-23,23,24,instancias/mejor-caso-bt-f/BT-F-MC-23.txt
mejor-caso-bt-f,BT-F-MC-24,24,25,instancias/mejor-caso-bt-f/BT-F-MC-24.txt
mejor-caso-bt-f,BT-F-MC-25,25,26,instancias/mejor-caso-bt-f/BT-F-MC-25.txt
mejor-caso-bt-f,BT-F-MC-26,26,27,instancias/mejor-caso-bt-f/BT-F-MC-26.txt
mejor-caso-bt-f,BT-F-MC-27,27,28,instancias/mejor-caso-bt-f/BT-F-MC-27.txt
mejor-caso-bt-f,BT-F-MC-28,28,29,instancias/mejor-caso-bt-f/BT-F-MC-28.txt
mejor-caso-bt-f,BT-F-MC-29,29,30,instancias/mejor-caso-bt-f/BT-F-MC-29.txt
mejor-caso-bt-f,BT-F-MC-30,30,31,instancias/mejor-caso-bt-f/BT-F-MC-30.txt
mejor-caso-bt-f,BT-F-MC-31,31,32,instancias/mejor-caso-bt-f/BT-F-MC-31.txt
mejor-caso-bt-f,BT-F-MC-32,32,33,instancias/mejor-caso-bt-f/BT-F-MC-32.txt
mejor-caso-bt-f,BT-F-MC-33,33,34,instancias/mejor-caso-bt-f/BT-F-MC-33.txt
mejor-caso-bt-f,BT-F-MC-34,34,35,instancias/mejor-caso-bt-f/BT-F-MC-34.txt
mejor-caso-bt-f,BT-F-MC-35,35,36,instancias/mejor-caso-bt-f/BT-F-MC-35.txt
mejor-caso-bt-f,BT-F-MC-36,36,37,instancias/mejor-caso-bt-f/BT-F-MC-36.txt
mejor-caso-bt-f,BT-F-MC-37,37,38,instancias/mejor-caso-bt-f/BT-F-MC-37.txt
mejor-caso-bt-f,BT-F-MC-38,38,39,instancias/mejor-caso-bt-f/BT-F-MC-38.txt
mejor-caso-bt-f,BT-F-MC-39,39,40,instancias/mejor-caso-bt-f/BT-F-MC-39.txt
mejor-caso-bt-f,BT-F-MC-40,40,41,instancias/mejor-caso-bt-f/BT-F-MC-40.txt
mejor-caso-bt-f,BT-F-MC-41,41,42,instancias/mejor-caso-bt-f/BT-F-MC-41.txt
mejor-caso-bt-f,BT-F-MC-42,42,43,instancias/mejor-caso-bt-f/BT-F-MC-42.txt
mejor-caso-bt-f,BT-F-MC-43,43,44,instancias/mejor-caso-bt-f/BT-F-MC-43.txt
mejor-caso-bt-f,BT-F-MC-44,44,45,instancias/mejor-caso-bt-f/BT-F-MC-44.txt
