dataset,instancia,n,M,archivo
peor-caso-bt-o,BT-O-PC-0,0,1,instancias/peor-caso-bt-o/BT-O-PC-0.txt
peor-caso-bt-o,BT-O-PC-1,1,2,instancias/peor-caso-bt-o/BT-O-PC-1.txt
peor-caso-bt-o,BT-O-PC-2,2,3,instancias/peor-caso-bt-o/BT-O-PC-2.txt
peor-caso-bt-o,BT-O-PC-3,3,4,instancias/peor-caso-bt-o/BT-O-PC-3.txt
peor-caso-bt-o,BT-O-PC-4,4,5,instancias/peor-caso-bt-o/BT-O-PC-4.txt
peor-caso-bt-o,BT-O-PC-5,5,6,instancias/peor-caso-bt-o/BT-O-PC-5.txt
peor-caso-bt-o,BT-O-PC-6,6,7,instancias/peor-caso-bt-o/BT-O-PC-6.txt
peor-caso-bt-o,BT-O-PC-7,7,8,instancias/peor-caso-bt-o/BT-O-PC-7.txt
peor-caso-bt-o,BT-O-PC-8,8,9,instancias/peor-caso-bt-o/BT-O-PC-8.txt
peor-caso-bt-o,BT-O-PC-9,9,10,instancias/peor-caso-bt-o/BT-O-PC-9.txt
peor-caso-bt-o,BT-O-PC-10,10,11,instancias/peor-caso-bt-o/BT-O-PC-10.txt
peor-caso-bt-o,BT-O-PC-11,11,12,instancias/peor-caso-bt-o/BT-O-PC-11.txt
peor-caso-bt-o,BT-O-PC-12,12,13,instancias/peor-caso-bt-o/BT-O-PC-12.txt
peor-caso-bt-o,BT-O-PC-13,13,14,instancias/peor-caso-bt-o/BT-O-PC-13.txt
peor-caso-bt-o,BT-O-PC-14,14,15,instancias/peor-caso-bt-o/BT-O-PC-14.txt
peor-caso-bt-o,BT-O-PC-15,15,16,instancias/peor-caso-bt-o/BT-O-PC-15.txt
peor-caso-bt-o,BT-O-PC-16,16,17,instancias/peor-caso-bt-o/BT-O-PC-16.txt
peor-caso-bt-o,BT-O-PC-17,17,18,instancias/peor-caso-bt-o/BT-O-PC-17.txt
peor-caso-bt-o,BT-O-PC-18,18,19,instancias/peor-caso-bt-o/BT-O-PC-18.txt
peor-caso-bt-o,BT-O-PC-19,19,20,instancias/peor-caso-bt-o/BT-O-PC-19.txt
peor-caso-bt-o,BT-O-PC-20,20,21,instancias/peor-caso-bt-o/BT-O-PC-20.txt
peor-caso-bt-o,BT-O-PC-21,21,22,instancias/peor-caso-bt-o/BT-O-PC-21.txt
peor-caso-bt-o,BT-O-PC-22,22,23,instancias/peor-caso-bt-o/BT-O-PC-22.txt
peor-caso-bt-o,BT-O-PC-23,23,24,instancias/peor-caso-bt-o/BT-O-PC-23.txt
peor-caso-bt-o,BT-O-PC-24,24,25,instancias/peor-caso-bt-o/BT-O-PC-24.txt
peor-caso-bt-o,BT-O-PC-25,25,26,instancias/peor-caso-bt-o/BT-O-PC-25.txt
peor-caso-bt-o,BT-O-PC-26,26,27,instancias/peor-caso-bt-o/BT-O-PC-26.txt
peor-caso-bt-o,BT-O-PC-27,27,28,instancias/peor-caso-bt-o/BT-O-PC-27.txt
peor-caso-bt-o,BT-O-PC-28,28,29,instancias/peor-caso-bt-o/BT-O-PC-28.txt
peor-caso-bt-o,BT-O-PC-29,29,30,instancias/peor-caso-bt-o/BT-O-PC-29.txt
peor-caso-bt-o,BT-O-PC-30,30,31,instancias/peor-caso-bt-o/BT-O-PC-30.txt
peor-caso-bt-o,BT-O-PC-31,31,32,instancias/peor-caso-bt-o/BT-O-PC-31.txt
peor-caso-bt-o,BT-O-PC-32,32,33,instancias/peor-caso-bt-o/BT-O-PC-32.txt
peor-caso-bt-o,BT-O-PC-33,33,34,instancias/peor-caso-bt-o/BT-O-PC-33.txt
peor-caso-bt-o,BT-O-PC-34,34,35,instancias/peor-caso-bt-o/BT-O-PC-34.txt
peor-caso-bt-o,BT-O-PC-35,35,36,instancias/peor-caso-bt-o/BT-O-PC-35.txt
peor-caso-bt-o,BT-O-PC-36,36,37,instancias/peor-caso-bt-o/BT-O-PC-36.txt
peor-caso-bt-o,BT-O-PC-37,37,38,instancias/peor-caso-bt-o/BT-O-PC-37.txt
peor-caso-bt-o,BT-O-PC-38,38,39,instancias/peor-caso-bt-o/BT-O-PC-38.txt
peor-caso-bt-o,BT-O-PC-39,39,40,instancias/peor-caso-bt-o/BT-O-PC-39.txt
peor-caso-bt-o,BT-O-PC-40,40,41,instancias/peor-caso-bt-o/BT-O-PC-40.txt
peor-caso-bt-o,BT-O-PC-41,41,42,instancias/peor-caso-bt-o/BT-O-PC-41.txt
peor-caso-bt-o,BT-O-PC-42,42,43,instancias/peor-caso-bt-o/BT-O-PC-42.txt
peor-caso-bt-o,BT-O-PC-43,43,44,instancias/peor-caso-bt-o/BT-O-PC-43.txt
peor-caso-bt-o,BT-O-PC-44,44,45,instancias/peor-caso-bt-o/BT-O-PC-44.txt
