dataset,instancia,n,M,archivo
programacion-dinamica-contra-backtracking,DP-VS-BT-10000,45,10000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-10000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-20000,45,20000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-20000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-30000,45,30000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-30000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-40000,45,40000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-40000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-50000,45,50000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-50000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-60000,45,60000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-60000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-70000,45,70000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-70000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-80000,45,80000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-80000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-90000,45,90000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-90000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-100000,45,100000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-100000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-110000,45,110000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-110000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-120000,45,120000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-120000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-130000,45,130000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-130000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-140000,45,140000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-140000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-150000,45,150000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-150000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-160000,45,160000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-160000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-170000,45,170000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-170000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-180000,45,180000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-180000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-190000,45,190000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-190000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-200000,45,200000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-200000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-210000,45,210000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-210000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-220000,45,220000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-220000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-230000,45,230000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-230000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-240000,45,240000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-240000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-250000,45,250000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-250000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-260000,45,260000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-260000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-270000,45,270000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-270000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-280000,45,280000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-280000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-290000,45,290000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-290000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-300000,45,300000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-300000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-310000,45,310000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-310000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-320000,45,320000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-320000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-330000,45,330000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-330000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-340000,45,340000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-340000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-350000,45,350000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-350000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-360000,45,360000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-360000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-370000,45,370000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-370000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-380000,45,380000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-380000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-390000,45,390000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-390000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-400000,45,400000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-400000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-410000,45,410000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-410000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-420000,45,420000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-420000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-430000,45,430000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-430000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-440000,45,440000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-440000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-450000,45,450000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-450000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-460000,45,460000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-460000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-470000,45,470000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-470000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-480000,45,480000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-480000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-490000,45,490000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-490000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-500000,45,500000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-500000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-510000,45,510000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-510000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-520000,45,520000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-520000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-530000,45,530000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-530000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-540000,45,540000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-540000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-550000,45,550000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-550000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-560000,45,560000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-560000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-570000,45,570000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-570000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-580000,45,580000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-580000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-590000,45,590000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-590000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-600000,45,600000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-600000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-610000,45,610000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-610000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-620000,45,620000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-620000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-630000,45,630000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-630000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-640000,45,640000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-640000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-650000,45,650000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-650000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-660000,45,660000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-660000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-670000,45,670000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-670000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-680000,45,680000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-680000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-690000,45,690000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-690000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-700000,45,700000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-700000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-710000,45,710000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-710000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-720000,45,720000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-720000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-730000,45,730000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-730000.txt
programacion-dinamica-contra-backtracking,DP-VS-BT-740000,45,740000,instancias/programacion-dinamica-contra-backtracking/DP-VS-BT-740000.txt
