dataset,instancia,n,M,archivo
programacion-dinamica,DP-500-500,500,500,instancias/programacion-dinamica/DP-500-500.txt
programacion-dinamica,DP-500-1000,500,1000,instancias/programacion-dinamica/DP-500-1000.txt
programacion-dinamica,DP-500-1500,500,1500,instancias/programacion-dinamica/DP-500-1500.txt
programacion-dinamica,DP-500-2000,500,2000,instancias/programacion-dinamica/DP-500-2000.txt
programacion-dinamica,DP-500-2500,500,2500,instancias/programacion-dinamica/DP-500-2500.txt
programacion-dinamica,DP-500-3000,500,3000,instancias/programacion-dinamica/DP-500-3000.txt
programacion-dinamica,DP-500-3500,500,3500,instancias/programacion-dinamica/DP-500-3500.txt
programacion-dinamica,DP-500-4000,500,4000,instancias/programacion-dinamica/DP-500-4000.txt
programacion-dinamica,DP-500-4500,500,4500,instancias/programacion-dinamica/DP-500-4500.txt
programacion-dinamica,DP-500-5000,500,5000,instancias/programacion-dinamica/DP-500-5000.txt
programacion-dinamica,DP-500-5500,500,5500,instancias/programacion-dinamica/DP-500-5500.txt
programacion-dinamica,DP-500-6000,500,6000,instancias/programacion-dinamica/DP-500-6000.txt
programacion-dinamica,DP-500-6500,500,6500,instancias/programacion-dinamica/DP-500-6500.txt
programacion-dinamica,DP-500-7000,500,7000,instancias/programacion-dinamica/DP-500-7000.txt
programacion-dinamica,DP-500-7500,500,7500,instancias/programacion-dinamica/DP-500-7500.txt
programacion-dinamica,DP-500-8000,500,8000,instancias/programacion-dinamica/DP-500-8000.txt
programacion-dinamica,DP-500-8500,500,8500,instancias/programacion-dinamica/DP-500-8500.txt
programacion-dinamica,DP-500-9000,500,9000,instancias/programacion-dinamica/DP-500-9000.txt
programacion-dinamica,DP-500-9500,500,9500,instancias/programacion-dinamica/DP-500-9500.txt
programacion-dinamica,DP-1000-500,1000,500,instancias/programacion-dinamica/DP-1000-500.txt
programacion-dinamica,DP-1000-1000,1000,1000,instancias/programacion-dinamica/DP-1000-1000.txt
programacion-dinamica,DP-1000-1500,1000,1500,instancias/programacion-dinamica/DP-1000-1500.txt
programacion-dinamica,DP-1000-2000,1000,2000,instancias/programacion-dinamica/DP-1000-2000.txt
programacion-dinamica,DP-1000-2500,1000,2500,instancias/programacion-dinamica/DP-1000-2500.txt
programacion-dinamica,DP-1000-3000,1000,3000,instancias/programacion-dinamica/DP-1000-3000.txt
programacion-dinamica,DP-1000-3500,1000,3500,instancias/programacion-dinamica/DP-1000-3500.txt
programacion-dinamica,DP-1000-4000,1000,4000,instancias/programacion-dinamica/DP-1000-4000.txt
programacion-dinamica,DP-1000-4500,1000,4500,instancias/programacion-dinamica/DP-1000-4500.txt
programacion-dinamica,DP-1000-5000,1000,5000,instancias/programacion-dinamica/DP-1000-5000.txt
programacion-dinamica,DP-1000-5500,1000,5500,instancias/programacion-dinamica/DP-1000-5500.txt
programacion-dinamica,DP-1000-6000,1000,6000,instancias/programacion-dinamica/DP-1000-6000.txt
programacion-dinamica,DP-1000-6500,1000,6500,instancias/programacion-dinamica/DP-1000-6500.txt
programacion-dinamica,DP-1000-7000,1000,7000,instancias/programacion-dinamica/DP-1000-7000.txt
programacion-dinamica,DP-1000-7500,1000,7500,instancias/programacion-dinamica/DP-1000-7500.txt
programacion-dinamica,DP-1000-8000,1000,8000,instancias/programacion-dinamica/DP-1000-8000.txt
programacion-dinamica,DP-1000-8500,1000,8500,instancias/programacion-dinamica/DP-1000-8500.txt
programacion-dinamica,DP-1000-9000,1000,9000,instancias/programacion-dinamica/DP-1000-9000.txt
programacion-dinamica,DP-1000-9500,1000,9500,instancias/programacion-dinamica/DP-1000-9500.txt
programacion-dinamica,DP-1500-500,1500,500,instancias/programacion-dinamica/DP-1500-500.txt
programacion-dinamica,DP-1500-1000,1500,1000,instancias/programacion-dinamica/DP-1500-1000.txt
programacion-dinamica,DP-1500-1500,1500,1500,instancias/programacion-dinamica/DP-1500-1500.txt
programacion-dinamica,DP-1500-2000,1500,2000,instancias/programacion-dinamica/DP-1500-2000.txt
programacion-dinamica,DP-1500-2500,1500,2500,instancias/programacion-dinamica/DP-1500-2500.txt
programacion-dinamica,DP-1500-3000,1500,3000,instancias/programacion-dinamica/DP-1500-3000.txt
programacion-dinamica,DP-1500-3500,1500,3500,instancias/programacion-dinamica/DP-1500-3500.txt
programacion-dinamica,DP-1500-4000,1500,4000,instancias/programacion-dinamica/DP-1500-4000.txt
programacion-dinamica,DP-1500-4500,1500,4500,instancias/programacion-dinamica/DP-1500-4500.txt
programacion-dinamica,DP-1500-5000,1500,5000,instancias/programacion-dinamica/DP-1500-5000.txt
programacion-dinamica,DP-1500-5500,1500,5500,instancias/programacion-dinamica/DP-1500-5500.txt
programacion-dinamica,DP-1500-6000,1500,6000,instancias/programacion-dinamica/DP-1500-6000.txt
programacion-dinamica,DP-1500-6500,1500,6500,instancias/programacion-dinamica/DP-1500-6500.txt
programacion-dinamica,DP-1500-7000,1500,7000,instancias/programacion-dinamica/DP-1500-7000.txt
programacion-dinamica,DP-1500-7500,1500,7500,instancias/programacion-dinamica/DP-1500-7500.txt
programacion-dinamica,DP-1500-8000,1500,8000,instancias/programacion-dinamica/DP-1500-8000.txt
programacion-dinamica,DP-1500-8500,1500,8500,instancias/programacion-dinamica/DP-1500-8500.txt
programacion-dinamica,DP-1500-9000,1500,9000,instancias/programacion-dinamica/DP-1500-9000.txt
programacion-dinamica,DP-1500-9500,1500,9500,instancias/programacion-dinamica/DP-1500-9500.txt
programacion-dinamica,DP-2000-500,2000,500,instancias/programacion-dinamica/DP-2000-500.txt
programacion-dinamica,DP-2000-1000,2000,1000,instancias/programacion-dinamica/DP-2000-1000.txt
programacion-dinamica,DP-2000-1500,2000,1500,instancias/programacion-dinamica/DP-2000-1500.txt
programacion-dinamica,DP-2000-2000,2000,2000,instancias/programacion-dinamica/DP-2000-2000.txt
programacion-dinamica,DP-2000-2500,2000,2500,instancias/programacion-dinamica/DP-2000-2500.txt
programacion-dinamica,DP-2000-3000,2000,3000,instancias/programacion-dinamica/DP-2000-3000.txt
programacion-dinamica,DP-2000-3500,2000,3500,instancias/programacion-dinamica/DP-2000-3500.txt
programacion-dinamica,DP-2000-4000,2000,4000,instancias/programacion-dinamica/DP-2000-4000.txt
programacion-dinamica,DP-2000-4500,2000,4500,instancias/programacion-dinamica/DP-2000-4500.txt
programacion-dinamica,DP-2000-5000,2000,5000,instancias/programacion-dinamica/DP-2000-5000.txt
programacion-dinamica,DP-2000-5500,2000,5500,instancias/programacion-dinamica/DP-2000-5500.txt
programacion-dinamica,DP-2000-6000,2000,6000,instancias/programacion-dinamica/DP-2000-6000.txt
programacion-dinamica,DP-2000-6500,2000,6500,instancias/programacion-dinamica/DP-2000-6500.txt
programacion-dinamica,DP-2000-7000,2000,7000,instancias/programacion-dinamica/DP-2000-7000.txt
programacion-dinamica,DP-2000-7500,2000,7500,instancias/programacion-dinamica/DP-2000-7500.txt
programacion-dinamica,DP-2000-8000,2000,8000,instancias/programacion-dinamica/DP-2000-8000.txt
programacion-dinamica,DP-2000-8500,2000,8500,instancias/programacion-dinamica/DP-2000-8500.txt
programacion-dinamica,DP-2000-9000,2000,9000,instancias/programacion-dinamica/DP-2000-9000.txt
programacion-dinamica,DP-2000-9500,2000,9500,instancias/programacion-dinamica/DP-2000-9500.txt
programacion-dinamica,DP-2500-500,2500,500,instancias/programacion-dinamica/DP-2500-500.txt
programacion-dinamica,DP-2500-1000,2500,1000,instancias/programacion-dinamica/DP-2500-1000.txt
programacion-dinamica,DP-2500-1500,2500,1500,instancias/programacion-dinamica/DP-2500-1500.txt
programacion-dinamica,DP-2500-2000,2500,2000,instancias/programacion-dinamica/DP-2500-2000.txt
programacion-dinamica,DP-2500-2500,2500,2500,instancias/programacion-dinamica/DP-2500-2500.txt
programacion-dinamica,DP-2500-3000,2500,3000,instancias/programacion-dinamica/DP-2500-3000.txt
programacion-dinamica,DP-2500-3500,2500,3500,instancias/programacion-dinamica/DP-2500-3500.txt
programacion-dinamica,DP-2500-4000,2500,4000,instancias/programacion-dinamica/DP-2500-4000.txt
programacion-dinamica,DP-2500-4500,2500,4500,instancias/programacion-dinamica/DP-2500-4500.txt
programacion-dinamica,DP-2500-5000,2500,5000,instancias/programacion-dinamica/DP-2500-5000.txt
programacion-dinamica,DP-2500-5500,2500,5500,instancias/programacion-dinamica/DP-2500-5500.txt
programacion-dinamica,DP-2500-6000,2500,6000,instancias/programacion-dinamica/DP-2500-6000.txt
programacion-dinamica,DP-2500-6500,2500,6500,instancias/programacion-dinamica/DP-2500-6500.txt
programacion-dinamica,DP-2500-7000,2500,7000,instancias/programacion-dinamica/DP-2500-7000.txt
programacion-dinamica,DP-2500-7500,2500,7500,instancias/programacion-dinamica/DP-2500-7500.txt
programacion-dinamica,DP-2500-8000,2500,8000,instancias/programacion-dinamica/DP-2500-8000.txt
programacion-dinamica,DP-2500-8500,2500,8500,instancias/programacion-dinamica/DP-2500-8500.txt
programacion-dinamica,DP-2500-9000,2500,9000,instancias/programacion-dinamica/DP-2500-9000.txt
programacion-dinamica,DP-2500-9500,2500,9500,instancias/programacion-dinamica/DP-2500-9500.txt
programacion-dinamica,DP-3000-500,3000,500,instancias/programacion-dinamica/DP-3000-500.txt
programacion-dinamica,DP-3000-1000,3000,1000,instancias/programacion-dinamica/DP-3000-1000.txt
programacion-dinamica,DP-3000-1500,3000,1500,instancias/programacion-dinamica/DP-3000-1500.txt
programacion-dinamica,DP-3000-2000,3000,2000,instancias/programacion-dinamica/DP-3000-2000.txt
programacion-dinamica,DP-3000-2500,3000,2500,instancias/programacion-dinamica/DP-3000-2500.txt
programacion-dinamica,DP-3000-3000,3000,3000,instancias/programacion-dinamica/DP-3000-3000.txt
programacion-dinamica,DP-3000-3500,3000,3500,instancias/programacion-dinamica/DP-3000-3500.txt
programacion-dinamica,DP-3000-4000,3000,4000,instancias/programacion-dinamica/DP-3000-4000.txt
programacion-dinamica,DP-3000-4500,3000,4500,instancias/programacion-dinamica/DP-3000-4500.txt
programacion-dinamica,DP-3000-5000,3000,5000,instancias/programacion-dinamica/DP-3000-5000.txt
programacion-dinamica,DP-3000-5500,3000,5500,instancias/programacion-dinamica/DP-3000-5500.txt
programacion-dinamica,DP-3000-6000,3000,6000,instancias/programacion-dinamica/DP-3000-6000.txt
programacion-dinamica,DP-3000-6500,3000,6500,instancias/programacion-dinamica/DP-3000-6500.txt
programacion-dinamica,DP-3000-7000,3000,7000,instancias/programacion-dinamica/DP-3000-7000.txt
programacion-dinamica,DP-3000-7500,3000,7500,instancias/programacion-dinamica/DP-3000-7500.txt
programacion-dinamica,DP-3000-8000,3000,8000,instancias/programacion-dinamica/DP-3000-8000.txt
programacion-dinamica,DP-3000-8500,3000,8500,instancias/programacion-dinamica/DP-3000-8500.txt
programacion-dinamica,DP-3000-9000,3000,9000,instancias/programacion-dinamica/DP-3000-9000.txt
programacion-dinamica,DP-3000-9500,3000,9500,instancias/programacion-dinamica/DP-3000-9500.txt
programacion-dinamica,DP-3500-500,3500,500,instancias/programacion-dinamica/DP-3500-500.txt
programacion-dinamica,DP-3500-1000,3500,1000,instancias/programacion-dinamica/DP-3500-1000.txt
